image_id,image_no,image_name,image_path,longitude,latitude,width,height,format,file_size_bytes
S2_000181,181,"-113.927365,50.90598.jpg",data\processed\images\S2_000181.jpg,-113.927365,50.90598,350,350,JPEG,33196
S2_000182,182,"-113.927372,51.105889.jpg",data\processed\images\S2_000182.jpg,-113.927372,51.105889,350,350,JPEG,45898
S2_000183,183,"-113.9275,51.156954.jpg",data\processed\images\S2_000183.jpg,-113.9275,51.156954,350,350,JPEG,23132
S2_000184,184,"-113.927534,51.172217.jpg",data\processed\images\S2_000184.jpg,-113.927534,51.172217,350,350,JPEG,16986
S2_000185,185,"-113.927604,51.002419.jpg",data\processed\images\S2_000185.jpg,-113.927604,51.002419,350,350,JPEG,19700
S2_000186,186,"-113.92775,51.047235.jpg",data\processed\images\S2_000186.jpg,-113.92775,51.047235,350,350,JPEG,44926
S2_000187,187,"-113.927818,50.983648.jpg",data\processed\images\S2_000187.jpg,-113.927818,50.983648,350,350,JPEG,17240
S2_000188,188,"-113.927892,51.106798.jpg",data\processed\images\S2_000188.jpg,-113.927892,51.106798,350,350,JPEG,47966
S2_000189,189,"-113.927927,50.998023.jpg",data\processed\images\S2_000189.jpg,-113.927927,50.998023,350,350,JPEG,21906
S2_000190,190,"-113.927935,51.029029.jpg",data\processed\images\S2_000190.jpg,-113.927935,51.029029,350,350,JPEG,22487
S2_000191,191,"-113.927946,51.086678.jpg",data\processed\images\S2_000191.jpg,-113.927946,51.086678,350,350,JPEG,44742
S2_000192,192,"-113.927982,51.045834.jpg",data\processed\images\S2_000192.jpg,-113.927982,51.045834,350,350,JPEG,44459
S2_000193,193,"-113.928004,51.149429.jpg",data\processed\images\S2_000193.jpg,-113.928004,51.149429,350,350,JPEG,24419
S2_000194,194,"-113.928011,51.098556.jpg",data\processed\images\S2_000194.jpg,-113.928011,51.098556,350,350,JPEG,39825
S2_000195,195,"-113.928087,51.015612.jpg",data\processed\images\S2_000195.jpg,-113.928087,51.015612,350,350,JPEG,20878
S2_000196,196,"-113.928126,50.942906.jpg",data\processed\images\S2_000196.jpg,-113.928126,50.942906,350,350,JPEG,22062
S2_000197,197,"-113.928198,51.046286.jpg",data\processed\images\S2_000197.jpg,-113.928198,51.046286,350,350,JPEG,44605
S2_000198,198,"-113.928216,51.119515.jpg",data\processed\images\S2_000198.jpg,-113.928216,51.119515,350,350,JPEG,44433
S2_000199,199,"-113.928238,51.084777.jpg",data\processed\images\S2_000199.jpg,-113.928238,51.084777,350,350,JPEG,43188
S2_000200,200,"-113.928387,50.912865.jpg",data\processed\images\S2_000200.jpg,-113.928387,50.912865,350,350,JPEG,40319
S2_000201,201,"-113.92851,51.063163.jpg",data\processed\images\S2_000201.jpg,-113.92851,51.063163,350,350,JPEG,46768
S2_000202,202,"-113.928573,50.898931.jpg",data\processed\images\S2_000202.jpg,-113.928573,50.898931,350,350,JPEG,46719
S2_000203,203,"-113.928579,50.979448.jpg",data\processed\images\S2_000203.jpg,-113.928579,50.979448,350,350,JPEG,19501
S2_000204,204,"-113.928674,51.119506.jpg",data\processed\images\S2_000204.jpg,-113.928674,51.119506,350,350,JPEG,44338
S2_000205,205,"-113.928774,51.130615.jpg",data\processed\images\S2_000205.jpg,-113.928774,51.130615,350,350,JPEG,39285
